price,location
24900,sanantonio
10995,chicago
17999,chicago
13599,chicago
16995,chicago
26999,chicago
15467,chicago
17999,chicago
13699,chicago
15699,chicago
12999,chicago
19195,chicago
17999,chicago
7995,chicago
12999,chicago
30999,chicago
172500,newyork
3002,newyork
1500,newyork
3012,newyork
340,newyork
76000,philadelphia
16250,philadelphia
22500,philadelphia
23900,philadelphia
13000,philadelphia
10500,philadelphia
8000,philadelphia
42000,philadelphia
8000,philadelphia
10,philadelphia
33500,philadelphia
13500,philadelphia
499,philadelphia
3000,philadelphia
104999,philadelphia
26999,philadelphia
44900,phoenix
14900,phoenix
26900,phoenix
2400,phoenix
9900,phoenix
37000,phoenix
5000,phoenix
8000,phoenix
36900,phoenix
148888,phoenix
39995,phoenix
19970,phoenix
6800,phoenix
37000,sandiego
25,sandiego
315,sandiego
12500,sandiego
99,sandiego
200,sandiego
135,sandiego
28990,sandiego
2570,sandiego
16000,sandiego
3200,sandiego
18500,sandiego
1900,sandiego
100,sandiego
6500,sandiego
39995,sandiego
58000,sandiego
54995,sanantonio
13900,sanantonio
54995,sanantonio
8950,sanantonio
56995,sanantonio
18900,sanantonio
21995,sanantonio
14125,sanantonio
24932,sanantonio
81972,sanantonio
18995,sanantonio
23900,sanantonio
14995,sanantonio
17999,chicago
7995,chicago
4995,chicago
7995,chicago
17999,chicago
145,chicago
6495,chicago
14999,chicago
32999,chicago
22499,chicago
17999,chicago
13199,chicago
14999,chicago
16995,chicago
21,chicago
11812,chicago
2950,chicago
209998,phoenix
14900,phoenix
7900,phoenix
39900,phoenix
29900,phoenix
19888,phoenix
39995,phoenix
14490,phoenix
31990,phoenix
79900,phoenix
37500,phoenix
7000,phoenix
34950,phoenix
14900,houston
8000,sandiego
6500,sandiego
13995,sandiego
19995,sandiego
10900,sandiego
49500,sandiego
29,sandiego
6000,sandiego
179000,sandiego
24990,sandiego
12800,sandiego
99000,sandiego
24900,sanantonio
21925,sanantonio
15900,sanantonio
17995,sanantonio
25995,sanantonio
24900,sanantonio
12995,sanantonio
36890,sanantonio
37853,sanantonio
24888,sanantonio
12995,sanantonio
79995,sanantonio
64991,sanantonio
39996,sanantonio
79995,sanantonio
28946,sanantonio
27475,sanantonio
8500,chicago
14617,chicago
40000,phoenix
779995,phoenix
15900,phoenix
11299,houston
11000,houston
25900,houston
99850,houston
1200,houston
400,houston
18900,houston
25450,houston
14544,houston
49900,houston
150,houston
23547,houston
26400,losangeles
26573,sanantonio
25221,sanantonio
56432,sanantonio
79995,sanantonio
12995,sanantonio
77632,sanantonio
64991,sanantonio
47995,sanantonio
79995,sanantonio
25220,sanantonio
12190,sanantonio
64991,sanantonio
12190,sanantonio
12500,sanantonio
14039,houston
350,houston
14900,houston
20541,houston
6000,houston
22689,houston
22395,houston
58000,houston
69408,houston
32263,houston
14900,houston
25999,houston
39900,houston
12922,houston
14900,houston
35194,houston
